rowid,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
15715,IDN,Indonesia,PLTG Tello,WRI1000859,123.0,-5.14,119.4221,Gas,,,,,PLN-South&South East Sulawesi Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026174,,,,,,,,,,,,,,512.5,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15716,IDN,Indonesia,PLTGB Singkawang,WRI1000867,9.0,0.9,109.0,Gas,,,,,PLT – rented from PT. Krista Inti Persada,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1041391,,,,,,,,,,,,,,37.5,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15717,IDN,Indonesia,PLTGB Tanjung Batu,WRI1000868,2.0,-0.5,117.15,Gas,,,,,PLN – sewa,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1050072,,,,,,,,,,,,,,8.33,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15718,IDN,Indonesia,PLTGU Bekasi Power,WRI1000870,130.0,-6.2611,107.1528,Gas,,,,,PT. Bekasi Power/PT. Kawasan Industri Jababeka Tbk,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1075035,,,,,,,,,,,,,,541.67,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15719,IDN,Indonesia,PLTGU Belawan – Sicanang,WRI1000871,817.0,3.7715,98.6687,Gas,,,,,PLN / KITSUMBAGUT,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1026045,,,,,,,,,,,,,,3404.21,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15720,IDN,Indonesia,PLTGU Cilegon,WRI1000874,903.0,-5.9306,106.1042,Gas,,,,,PLN Cilegon Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,3762.55,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15721,IDN,Indonesia,PLTGU Grati,WRI1000875,461.0,-7.6517,113.0244,Gas,,,,,PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026069,,,,,,,,,,,,,,1920.86,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15722,IDN,Indonesia,PLTGU Gresik,WRI1000876,1579.0,-7.1633,112.6615,Gas,,,,,PLN – Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026070,,,,,,,,,,,,,,6579.26,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15723,IDN,Indonesia,PLTGU Krakatau Daya Listrik (KDL),WRI1000878,400.0,-5.9924,105.9849,Gas,,,,,PT. Krakatau Daya Listrik,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,1666.69,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15724,IDN,Indonesia,PLTGU Muara Karang Block I,WRI1000879,509.0,-6.1087,106.7877,Gas,,,,,PLN – Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026102,,,,,,,,,,,,,,2120.86,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15725,IDN,Indonesia,PLTGU Muara Karang repowering,WRI1000880,753.0,-6.1087,106.7877,Gas,,,,,PLN – Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026102,,,,,,,,,,,,,,3137.54,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15726,IDN,Indonesia,PLTGU Muara Karang repowering Blok 2,WRI1000881,210.0,-6.1087,106.7877,Gas,,,,,PLN – Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026102,,,,,,,,,,,,,,875.01,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15727,IDN,Indonesia,PLTGU Muara Tawar Block 1 &2,WRI1000882,920.0,-6.0867,106.9987,Gas,,,,,PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026103,,,,,,,,,,,,,,3833.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15728,IDN,Indonesia,PLTGU Muara Tawar Block 5,WRI1000883,384.0,-6.0867,106.9987,Gas,,,,,PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026103,,,,,,,,,,,,,,1600.02,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15729,IDN,Indonesia,PLTGU Priok Block 1   2,WRI1000885,1180.0,-6.1102,106.8671,Gas,,,,,PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,4916.73,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15730,IDN,Indonesia,PLTGU Sengkang/Wajo,WRI1000886,135.0,-5.14,119.4221,Gas,,,,,PT. Energy Sengkang,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1025923,,,,,,,,,,,,,,562.5,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15731,IDN,Indonesia,PLTGU Tambak Lorok,WRI1000887,1034.0,-6.9505,110.434,Gas,,,,,PLN – Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026156,,,,,,,,,,,,,,4308.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15732,IDN,Indonesia,PLTMG Panaran,WRI1000894,24.0,0.1807,101.8444,Gas,,,,,bright PLN Batam,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1060287,,,,,,,,,,,,,,100.0,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15733,IDN,Indonesia,PLTMG Pulau Bunyu,WRI1000898,2.0,3.5,117.8333,Gas,,,,,PLN,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,8.33,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15734,IDN,Indonesia,PLTMG Tj. Jabung,WRI1000904,8.0,-1.0167,104.3667,Gas,,,,,PT. Tanjung Jabung Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,33.33,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15735,IDN,Indonesia,PLTU - Palu - Mpanau - Tawaeli,WRI1000906,30.0,-0.8917,119.8707,Coal,,,,,PT. Pusaka Jaya Palu Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,163.25,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15736,IDN,Indonesia,PLTU -Jeneponto I & II,WRI1000907,250.0,-5.6184,119.5506,Coal,,,,,PT Bosowa Energy,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,1360.49,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15737,IDN,Indonesia,PLTU Asam-asam 1 & 2,WRI1000910,260.0,-3.9253,115.1043,Coal,,,,,PLN - South Kalimantan Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,1414.91,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15738,IDN,Indonesia,PLTU Banjarsari/Merapi Timur-Lahat,WRI1000913,220.0,-3.7241,103.6894,Coal,,,,,PT. Bukit Pembangkit Inovatif (PT BA 59.75%  PT PJB 29.15% dan PT Navigate Innovative Indonesia (PT NII) 11.1%),Indonesia Power Generation,https://repit.wordpress.com/,WRI,1057264,,,,,,,,,,,,,,1197.23,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15739,IDN,Indonesia,PLTU Banten 1 - Suralaya unit 8,WRI1000914,625.0,-6.0585,106.4646,Coal,,,,,PLN -.PT Indonesia Power - 2010,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026152,,,,,,,,,,,,,,3401.23,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15740,IDN,Indonesia,PLTU Banten 2 - Labuhan,WRI1000915,600.0,-6.3919,105.8288,Coal,,,,,PLN / 2010,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,3265.18,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15741,IDN,Indonesia,PLTU Banten 3 - Teluk Naga/Lontar,WRI1000916,945.0,-6.0585,106.4646,Coal,,,,,PLN + Dongfang Electrik Corp  PT Dalle Energy,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,,,,,,,,,,,,,,,5142.66,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15742,IDN,Indonesia,PLTU Bilibili,WRI1000918,2.0,-2.5213,121.357,Coal,,,,,PLN-South&South East Sulawesi Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,10.88,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15743,IDN,Indonesia,PLTU Bukit Asam,WRI1000919,30.0,-3.7316,103.7975,Coal,,,,,PT BA for own use,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026052,,,,,,,,,,,,,,163.25,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15744,IDN,Indonesia,PLTU Cilacap 1 & 2,WRI1000920,600.0,-7.7513,109.0186,Coal,,,,,PT. Sumber Segara Primadaya,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1050225,,,,,,,,,,,,,,3265.18,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15745,IDN,Indonesia,PLTU Cirebon,WRI1000921,660.0,-6.7704,108.6151,Coal,,,,,PT. Cirebon Electric Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1066870,,,,,,,,,,,,,,3591.7,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15746,IDN,Indonesia,PLTU Embalut - Tanjung Batu,WRI1000925,50.0,-0.5,117.15,Coal,,,,,PT. Cahaya Fajar Kaltim,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1058260,,,,,,,,,,,,,,272.09,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15747,IDN,Indonesia,PLTU Gresik,WRI1000929,600.0,-7.1633,112.6615,Coal,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1026070,,,,,,,,,,,,,,3265.18,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15748,IDN,Indonesia,PLTU Hendratna,WRI1000932,5.0,-2.5213,121.357,Coal,,,,,PT. Hendratna Plywood,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,27.2,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15749,IDN,Indonesia,PLTU Jabar Selatan - Pelabuhan Ratu,WRI1000938,1050.0,-7.0242,106.5464,Coal,,,,,PLN,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1066867,,,,,,,,,,,,,,5714.07,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15750,IDN,Indonesia,PLTU Jawa Barat - Indramayu,WRI1000939,990.0,-6.2747,107.9704,Coal,,,,,PLN + China National Electric Engineering Co.  Ltd. (CNEEC),Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1071378,,,,,,,,,,,,,,5387.55,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15751,IDN,Indonesia,PLTU Jawa Tengah 1 - Rembang,WRI1000940,630.0,-6.636,111.4749,Coal,,,,,PLN(EPC : Zeland-Priamanaya-Tronoh),Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1065762,,,,,,,,,,,,,,3428.44,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15752,IDN,Indonesia,PLTU Kaur,WRI1000943,200.0,-2.5213,121.357,Coal,,,,,PLN,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,1088.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15753,IDN,Indonesia,PLTU Keramasan,WRI1000945,25.0,-2.5213,121.357,Coal,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026111,,,,,,,,,,,,,,136.04,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15754,IDN,Indonesia,PLTU Kupang,WRI1000947,30.0,-2.5213,121.357,Coal,,,,,PT. Indonesia Power & electrindo Perkasa Utama,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026086,,,,,,,,,,,,,,163.25,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15755,IDN,Indonesia,PLTU Labuhan Angin,WRI1000948,230.0,1.7176,98.7265,Coal,,,,,PLN - North Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1066585,,,,,,,,,,,,,,1251.65,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15756,IDN,Indonesia,PLTU Lati,WRI1000949,14.0,-2.5213,121.357,Coal,,,,,PLN - East Kalimantan Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1088444,,,,,,,,,,,,,,76.18,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15757,IDN,Indonesia,PLTU Listrindo,WRI1000950,2.5,-2.5213,121.357,Coal,,,,,PT. Listrindo (IPP),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,13.6,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15758,IDN,Indonesia,PLTU Muara Karang,WRI1000954,400.0,-6.1069,106.7882,Coal,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1026102,,,,,,,,,,,,,,2176.79,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15759,IDN,Indonesia,PLTU NAD-Nagan Raya,WRI1000956,220.0,4.1089,96.1972,Coal,,,,,PLN (EPC : Sinohydro Co. Ltd),Indonesia Power Generation,https://repit.wordpress.com/,WRI,1073026,,,,,,,,,,,,,,1197.23,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15760,IDN,Indonesia,PLTU Ombilin - Sijantang - Sawahlunto,WRI1000960,200.0,-0.6094,100.7535,Coal,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026107,,,,,,,,,,,,,,1088.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15761,IDN,Indonesia,PLTU Paiton I Unit 7 & 8,WRI1000941,5355.0,-7.7184,113.5827,Coal,,,,,PT. Paiton Energy Corp,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1026016,,,,,,,,,,,,,,29141.78,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15762,IDN,Indonesia,PLTU Pakerin,WRI1000965,34.0,-2.5213,121.357,Coal,,,,,PT. Pakerin (pulp industry),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,185.02,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15763,IDN,Indonesia,PLTU Pangkalan Bun,WRI1000966,14.0,-2.6833,111.6167,Coal,,,,,PT. Energi Listrik Indonesia (subsidiary of PT. Eksploitasi Energi Indonesia),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026115,,,,,,,,,,,,,,76.18,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15764,IDN,Indonesia,PLTU Pangkalan Susu 1 & 2,WRI1000967,400.0,4.1196,98.2555,Coal,,,,,PLN (EPC : PT. Bagus Karya  Guangdong Power Engineering  PT. Nincec Multi Dimensi),Indonesia Power Generation,https://repit.wordpress.com/,WRI,1079188,,,,,,,,,,,,,,2176.79,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15765,IDN,Indonesia,PLTU Perak,WRI1000970,100.0,-7.2492,112.7508,Coal,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,544.19,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15766,IDN,Indonesia,PLTU Priok 3 & 4,WRI1000972,100.0,-6.1071,106.8716,Coal,,,,,PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,544.19,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15767,IDN,Indonesia,PLTU Rancong,WRI1000974,30.0,-2.5213,121.357,Coal,,,,,PT. Jorindo Aceh Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,163.25,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15768,IDN,Indonesia,PLTU Sanggau,WRI1000975,14.0,-2.5213,121.357,Coal,,,,,PLN,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1102412,,,,,,,,,,,,,,76.18,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15769,IDN,Indonesia,PLTU Simpang Belimbing,WRI1000978,227.0,-3.4,104.1158,Coal,,,,,PT. Guo Hua Energy Musi Makmur,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1075907,,,,,,,,,,,,,,1235.32,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15770,IDN,Indonesia,PLTU Sulawesi Selatan - Barru/FTP1,WRI1000979,100.0,-4.2931,119.6326,Coal,,,,,PLN-South&South East Sulawesi Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,544.19,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15771,IDN,Indonesia,PLTU Sumbar - Teluk sirih Unit 1,WRI1000980,112.0,-1.0772,100.3727,Coal,,,,,PLN (EPC: CNTIC (China National Tecnical Import Corporation)),Indonesia Power Generation,https://repit.wordpress.com/,WRI,1066878,,,,,,,,,,,,,,609.5,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15772,IDN,Indonesia,PLTU Suparma,WRI1000981,27.0,-2.5213,121.357,Coal,,,,,PT. Suparma (pulp industry),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,146.93,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15773,IDN,Indonesia,PLTU Suralaya,WRI1000982,3400.0,-5.892,106.03,Coal,,,,,PLN -.PT Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026152,,,,,,,,,,,,,,18502.72,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15774,IDN,Indonesia,PLTU Tabalong,WRI1000983,60.0,-2.5213,121.357,Coal,,,,,PT. Makmur Sejahtera Wisesa (owned by PT. Adaro),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,326.51,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15775,IDN,Indonesia,PLTU Tambak Lorok,WRI1000984,300.0,-6.9507,110.4304,Coal,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026156,,,,,,,,,,,,,,1632.59,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15776,IDN,Indonesia,PLTU Tanjung Alam Perkasa,WRI1000985,7.5,-2.5213,121.357,Coal,,,,,PT. Tanjung Alam Perkasa,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,40.81,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15777,IDN,Indonesia,PLTU Tanjung Enim -Bukit Asam,WRI1000988,260.0,-3.7316,103.7975,Coal,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1076783,,,,,,,,,,,,,,1414.91,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15778,IDN,Indonesia,PLTU Tanjung Jati B,WRI1000990,1320.0,-6.446,110.7423,Coal,,,,,PT. Central Java Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1052927,,,,,,,,,,,,,,7183.4,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15779,IDN,Indonesia,PLTU Tanjung Jati B - expansion,WRI1000991,1324.0,-6.446,110.7423,Coal,,,,,PT. Central Java Power (EPC : Korea Midland Power Co),Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1052927,,,,,,,,,,,,,,7205.17,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15780,IDN,Indonesia,PLTU Tanjung Kasam,WRI1000992,110.0,1.0455,104.133,Coal,,,,,PT. Tanjung Kasam Power Batam (PT. TJK Power),Indonesia Power Generation,https://repit.wordpress.com/,WRI,1060288,,,,,,,,,,,,,,598.61,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15781,IDN,Indonesia,PLTU Tarahan # 1  2,WRI1000994,200.0,-5.518,105.35,Coal,,,,,Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1026163,,,,,,,,,,,,,,1088.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15782,IDN,Indonesia,PLTU Tarahan 3 & 4 - Sebalang,WRI1000995,200.0,-5.518,105.35,Coal,,,,,PLN,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,1088.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15783,IDN,Indonesia,PLTU Tello,WRI1000997,25.0,-5.14,119.4221,Coal,,,,,PLN-South&South East Sulawesi Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,,,,,,,,136.04,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15784,IDN,Indonesia,PLTU Tonasa II (Boiler Turbine Generator),WRI1000999,70.0,-4.7846,119.6163,Coal,,,,,PT. Semen Gresik Tbk/PT. Semen Indonesia,Indonesia Power Generation,https://repit.wordpress.com/,WRI,,,,,,,,,,,,,,,380.93,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15785,IDN,Indonesia,Pacitan power station,WRI1075812,630.0,-8.2578,111.3736,Coal,,,,2011.0,PT PLN Persero,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,3428.44,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15786,IDN,Indonesia,Pejengkolan/Mrica,WRI1000801,1.4,-7.5694,109.8006,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026121,,,,,,,,,,2.83,2.23,2.96,3.02,3.01,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
15787,IDN,Indonesia,Pekanbaru Tenayan power station,WRI1075813,220.0,0.5644,101.5234,Coal,,,,2016.0,PT PLN Persero,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,1197.23,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
15788,IDN,Indonesia,Pemaron BOO,WRI1000802,45.0,-8.1189,115.0887,Oil,,,,,PT. Cogindo DayaBersama - rental,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1054581,,,,,,,,,,,,,,81.23,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
